Murder,Assault,UrbanPop,Rape,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,State
13.2,236,58,21.2,1,62.814687790615,38.404295863342,148.909796708234,Alabama
10,191,48,44.5,0,33.6027457384185,85.5571340578026,108.629730262079,Alaska
8.1,294,80,31,1,120.542334294816,24.8052410861764,208.168460479825,Arizona
8.8,190,60,19.5,0,18.2138029236132,82.912068732099,102.701626330931,Arkansas
9,276,91,40.6,1,105.640930810427,25.0147370912625,192.918413747357,California
7.9,204,78,38.7,0,34.7702497659192,69.2740681242062,120.475943987811,Colorado
3.3,110,77,11.1,2,66.2365227121338,163.014323955104,28.4790507987232,Connecticut
8.32556343078613,238,72,15.8,1,64.3182949000305,36.0316030819928,151.017024360211,Delaware
15.4,335,80,31.9,1,161.541304953684,64.1619417862157,249.172752449182,Florida
17.4,228,76,25.8,1,55.1153579869008,44.5008242415138,142.494748416288,Georgia
5.3,46,83,18.0552291870117,2,129.268145810064,226.459802268158,47.7938077739761,Hawaii
2.6,120,54,14.2,2,57.1468216257595,153.560005365237,32.9895632430331,Idaho
10.4,249,83,24,1,76.2176654322205,26.3848129999997,163.538687576152,Illinois
7.2,113,65,21,2,61.4123277948723,159.103540800081,27.0710932982906,Indiana
2.2,56,57,11.3,2,119.578912984123,217.052340069638,31.8474834432732,Iowa
6,115,66,18,2,59.6095355104114,157.273068749639,28.488418400896,Kansas
6.17511701583862,109,52,16.3,2,67.669796742649,164.325672688001,23.0095520081643,Kentucky
15.4,208,70,22.2,0,34.5674469959793,64.1024521111165,121.684352192382,Louisiana
2.1,83,51,7.8,2,94.4007461238059,191.079733794638,11.8591099921204,Maine
11.3,300,67,27.8,1,125.848216689977,28.4126959016799,213.138029121554,Maryland
4.4,149,51,16.3,0,31.64819465268,125.064926573037,62.1103933352276,Massachusetts
12.1,255,74,35.1,1,81.8507778963862,18.7844107305459,169.554233770652,Michigan
2.7,72,66,14.9,2,102.804737522752,200.472871874606,16.8370212115878,Minnesota
16.1,259,44,17.1,1,88.7114004816592,31.3251872118644,172.616492596542,Mississippi
9,178,70,28.2,0,6.26174356463538,93.8584402291251,92.2485775868151,Missouri
6,109,53,16.4,2,67.4321604407846,164.216846716644,22.6869086637628,Montana
4.3,102,62,16.5,2,72.980645424729,170.546829281063,14.8249544963319,Nebraska
12.2,252,81,46,1,82.0072996941239,29.0962142150763,169.056691533562,Nevada
2.1,57,56,9.5,2,118.89332496364,216.269518707683,31.181524675294,New Hampshire
7.4,159,89,18.8,0,26.2516805728553,114.769257007119,77.420309275986,New Jersey
11.4,285,70,32.1,1,111.121687483362,13.9939711588537,198.670028312879,New Mexico
11.1,254,86,26.1,1,81.7864986887228,23.7829927833856,169.08077490772,New York
13,337,45,16.1,1,164.618628946473,70.8822155327711,250.052550367147,North Carolina
0.8,45,44,7.3,2,132.722048295484,229.503691052084,45.9928179285714,North Dakota
7.3,120,75,21.4,2,54.7416740305259,152.075647215584,36.7351853622031,Ohio
6.6,151,68,20,0,23.5948607470181,121.188331325958,64.306531529134,Oklahoma
4.9,159,67,29.3,0,16.6786632614819,113.100623297101,73.4170276081762,Oregon
6.3,106,72,14.9,2,68.9466535493403,166.395098733459,22.2712827546087,Pennsylvania
3.4,174,87,8.3,0,24.6956190515769,101.443249940398,90.8296061564433,Rhode Island
14.4,279,48,22.5,1,106.84899267089,24.0984569933453,192.27150736953,South Carolina
3.8,86,45,12.8,2,92.0038146857182,188.286267062981,14.8889743461361,South Dakota
13.2,188,59,26.9,0,17.5869504960853,84.5708940392632,101.676556496455,Tennessee
12.7,201,80,25.5,0,29.6288277525004,71.4875282602737,116.127175580703,Texas
3.2,120,80,18.7810649871826,2,55.9650921347198,152.626705051058,38.5485871643469,Utah
2.2,48,32,11.2,2,132.071374141532,227.867160869195,48.4368415112368,Vermont
8.5,156,63,20.7,0,19.2110890289419,116.293169669377,68.9872898809504,Virginia
4,145,73,19.1234111785889,0,30.2825571274379,127.373046742093,59.1738250918072,Washington
5.7,81,39,9.3,2,98.7994573151145,194.323777307524,22.3352415800285,West Virginia
2.6,53,66,10.8,2,122.086040781388,219.693298716293,35.2949575765256,Wisconsin
6.8,161,60,15.6,0,17.5727975238745,112.051086110246,73.5160418248229,Wyoming
